Document Number,Document Date,Document Type,Item Number,Item Description,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Transfer To Location,Document Status
6143,11/09/2023,Transfer,A-61138,AM GSG R/J & B Pollen 10x10cc,CASE,5,98.94,494.7,3,2,Posted
6143,11/09/2023,Transfer,M-96036,Seirogan Toi A 36 Pills,CASE,13,285.36,3709.68,3,2,Posted
6143,11/09/2023,Transfer,M-96100,Seirogan 100 Pills,CASE,100,521.85,52185,3,2,Posted
6144,11/16/2023,Transfer,D-17106,POP Pu-Erh Tea 1.8gx100 (6ct/cs),CASE,272,9.42,2562.24,2,3,Posted
6144,11/16/2023,Transfer,D-16106,POP Ti Kuan Yin Tea 1.8gx100 (6ct/cs),CASE,136,8.778,1193.81,2,3,Posted
6144,11/16/2023,Transfer,F-00186,Lambertz Exquisit 750g Red,CASE,160,55.75,8920,2,3,Posted
6144,11/16/2023,Transfer,F-04007,POP Ginger Chews Blood Orange 1 lb Bulk,CASE,160,26.076,4172.16,2,3,Posted
6144,11/16/2023,Transfer,F-04005,POP Ginger Chews Mango 1 lb Bulk,CASE,240,25.368,6088.32,2,3,Posted
6144,11/16/2023,Transfer,F-04075,POP Ginger Chews Blood Orange 8 oz,CASE,256,8.416,2154.49,2,3,Posted
6146,10/25/2023,Transfer,A-61243,AM GSG RT Tea 40 Bags,CASE,72,172.423,12414.49,1,2,Posted
6147,10/25/2023,Transfer,F-04076,POP Ginger Chews Assorted 8 oz,CASE,1120,9.472,10608.64,1,2,Posted
6147,10/25/2023,Transfer,C-70020,Panax GSG Extm 10x10cc (Pine)##25,CASE,126,99.72,12564.72,1,2,Posted
6147,10/25/2023,Transfer,A-61012,Wild AM GSG Instant Tea 3gx10x8,CASE,108,143.184,15463.87,1,2,Posted
6147,10/25/2023,Transfer,J-40132,POP Ins 3 in 1 Tea Latte 17gx22CT,CASE,150,60.63,9094.5,1,2,Posted
6147,10/25/2023,Transfer,A-61260N,AM GSG RT Tea 60 Bags (15/cs),CASE,96,164.97,15837.12,1,2,Posted
6148,10/20/2023,Transfer,C-70021,Panax GSG Extm 30x10cc (Pine),CASE,42,100.704,4229.57,1,3,Posted
6148,10/20/2023,Transfer,C-70330,Ginkgo & Red GSG Ext 30x10cc,CASE,45,96.816,4356.72,1,3,Posted
6148,10/20/2023,Transfer,F-76010,Kjeldsens 1 lb Danish Cookie(#98838),CASE,60,51.888,3113.28,1,3,Posted
6148,10/20/2023,Transfer,F-76050,Kjeldsens 2lbs Danish Cookie(#98844),CASE,126,36.84,4641.84,1,3,Posted
6148,10/20/2023,Transfer,J-40132,POP Ins 3 in 1 Tea Latte 17gx22CT,CASE,125,60.63,7578.75,1,3,Posted
6148,10/20/2023,Transfer,S-06031,Bee&Flower Rose Soaps 2.65 oz /Reg,CASE,144,43.774,6303.45,1,3,Posted
6148,10/20/2023,Transfer,C-70121,Red Panax GSG Extm 10x10cc,CASE,90,84.96,7646.4,1,3,Posted
6148,10/20/2023,Transfer,C-70113,Panax GSG Extm 30x10cc(SS Box),CASE,84,95.352,8009.56,1,3,Posted
6148,10/20/2023,Transfer,C-70214,Beijing R/J W/B Pollen 30x10cc,CASE,6,97.823,586.94,1,3,Posted
6148,10/20/2023,Transfer,T-42208,Tiger Balm Arthritis Rub 4 oz (12x4),CASE,30,297.662,8929.87,1,3,Posted
6148,10/20/2023,Transfer,F-04075,POP Ginger Chews Blood Orange 8 oz,CASE,128,7.896,1010.68,1,3,Posted
6148,10/20/2023,Transfer,D-15220N,POP Organic Oolong Tea 1.8gx20,CASE,20,16.596,331.92,1,3,Posted
6148,10/20/2023,Transfer,D-18120N,POP White Tea 1.8gx20 (New),CASE,12,16.56,198.72,1,3,Posted
6148,10/20/2023,Transfer,D-19206,POP OG Black Tea 1.8gx100 (6ct/cs),CASE,136,11.85,1611.6,1,3,Posted
6148,10/20/2023,Transfer,D-04037,POP Ginger H Cytl.Lemon 10ct(6x6),CASE,72,32.724,2356.13,1,3,Posted
6148,10/20/2023,Transfer,D-17106,POP Pu-Erh Tea 1.8gx100 (6ct/cs),CASE,136,9.42,1281.12,1,3,Posted
6153,10/30/2023,Transfer,AC-B6ML,AM GSG Root (M) 6 oz Bag - Large,BAG,60,26.017,1561.01,1,3,Posted
6153,10/30/2023,Transfer,AC-M44,"AM GSG M-4, 1/4 LB.##25",BOX,48,17.578,843.74,1,3,Posted
6153,10/30/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,96,16.791,1611.95,1,3,Posted
6153,10/30/2023,Transfer,AC-B3SL5,AM GSG Slices (L) 3 oz GBox,BAG,120,11.82,1418.4,1,3,Posted
6153,10/30/2023,Transfer,M-70081,DH Reishi Caps 280mgx120 G Box,BOX,60,20.944,1256.64,1,3,Posted
6154,10/26/2023,Transfer,D-03073,POP Detox Tea 1.8gx18(4x3),CASE,50,22.596,1129.8,1,3,Posted
6154,10/26/2023,Transfer,T-32300,Tiger Balm Patch - Large,CASE,114,97.164,11076.7,1,3,Posted
6154,10/26/2023,Transfer,T-32300,Tiger Balm Patch - Large,BOX,18,2.699,48.58,1,3,Posted
6154,10/26/2023,Transfer,J-63004,Mazola Corn Oil 40 oz,CASE,36,45,1620,1,3,Posted
6154,10/26/2023,Transfer,J-63024,Mazola Canola Oil 40 oz,CASE,72,45,3240,1,3,Posted
6154,10/26/2023,Transfer,F-04005,POP Ginger Chews Mango 1 lb Bulk,CASE,210,24.636,5173.56,1,3,Posted
6154,10/26/2023,Transfer,F-04006,POP Ginger Chews Lychee 1 lb Bulk,CASE,140,24.636,3449.04,1,3,Posted
6154,10/26/2023,Transfer,T-44020N,Tiger Balm Muscle Rub Active 2 oz,CASE,72,135.66,9767.52,1,3,Posted
6154,10/26/2023,Transfer,F-76010,Kjeldsens 1 lb Danish Cookie(#98838),CASE,120,51.888,6226.56,1,3,Posted
6154,10/26/2023,Transfer,F-76050,Kjeldsens 2lbs Danish Cookie(#98844),CASE,504,38.388,19347.55,1,3,Posted
6154,10/26/2023,Transfer,J-40032,POP Ins 3 in 1 Cappuccino 20gx22CT,CASE,28,58.2,1629.6,1,3,Posted
6159,10/31/2023,Transfer,A-61243,AM GSG RT Tea 40 Bags,CASE,48,170.78,8197.44,1,2,Posted
6159,10/31/2023,Transfer,M-41061,YNBY Toothpaste Mint 100g+30g Free##25,CASE,266,24.84,6607.44,1,2,Posted
6159,10/31/2023,Transfer,M-41062,YNBY Toothpaste Wht 100g+30g Free##25,CASE,266,29.904,7954.47,1,2,Posted
6159,10/31/2023,Transfer,M-41066,YNBY Toothpaste Probio 100g+30g Free,CASE,133,32.436,4313.99,1,2,Posted
6159,10/31/2023,Transfer,J-40032,POP Ins 3 in 1 Cappuccino 20gx22CT,CASE,140,63.06,8828.4,1,2,Posted
6160,10/30/2023,Transfer,J-40032,POP Ins 3 in 1 Cappuccino 20gx22CT,CASE,84,58.2,4888.8,1,3,Posted
6160,10/30/2023,Transfer,J-40132,POP Ins 3 in 1 Tea Latte 17gx22CT,CASE,150,60.63,9094.5,1,3,Posted
6160,10/30/2023,Transfer,T-32206,Tiger Balm Patch Warm (MM),CASE,640,70.632,45204.48,1,3,Posted
6160,10/30/2023,Transfer,M-41066,YNBY Toothpaste Probio 100g+30g Free,CASE,133,32.436,4313.99,1,3,Posted
6161,10/31/2023,Transfer,M-96100,Seirogan 100 Pills,CASE,30,521.85,15655.5,3,1,Posted
6161,10/31/2023,Transfer,M-96400,Seirogan 400 Pills,CASE,20,578.04,11560.8,3,1,Posted
6161,10/31/2023,Transfer,M-96036,Seirogan Toi A 36 Pills,CASE,5,285.36,1426.8,3,1,Posted
6161,10/31/2023,Transfer,K-80027,POP K. GSG Tea 2gx10x10 R/G,CASE,24,124.38,2985.12,3,1,Posted
6162,11/14/2023,Transfer,K-80027,POP K. GSG Tea 2gx10x10 R/G,CASE,56,123.87,6936.72,2,1,Posted
6162,11/14/2023,Transfer,D-17106,POP Pu-Erh Tea 1.8gx100 (6ct/cs),CASE,272,9.42,2562.24,2,1,Posted
6162,11/14/2023,Transfer,F-04005,POP Ginger Chews Mango 1 lb Bulk,CASE,160,25.368,4058.88,2,1,Posted
6162,11/14/2023,Transfer,F-04007,POP Ginger Chews Blood Orange 1 lb Bulk,CASE,160,26.076,4172.16,2,1,Posted
6162,11/14/2023,Transfer,D-14106,POP Jasmine Tea 1.8gx100 (6ct/cs),CASE,272,10.068,2738.49,2,1,Posted
6163,11/08/2023,Transfer,AC-R24,"AM GSG R-2, 1/4 LB.##24",BOX,48,27.121,1301.81,1,2,Posted
6163,11/08/2023,Transfer,AC-R34,"AM GSG R-3, 1/4 LB.##25",BOX,120,15.643,1877.16,1,2,Posted
6163,11/08/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,120,17.198,2063.76,1,2,Posted
6163,11/08/2023,Transfer,AC-B6RL,AM GSG Root (R) 6 oz Bag - Large,BAG,36,14.292,514.52,1,2,Posted
6163,11/08/2023,Transfer,AC-M54,"AM GSG M-5, 1/4 LB.##25",BOX,48,23.879,1146.19,1,2,Posted
6163,11/08/2023,Transfer,AC-M64,"AM GSG M-6, 1/4 LB.##25",BOX,48,21.109,1013.25,1,2,Posted
6164,10/31/2023,Transfer,J-40032,POP Ins 3 in 1 Cappuccino 20gx22CT,CASE,56,58.2,3259.2,1,3,Posted
6164,10/31/2023,Transfer,J-40132,POP Ins 3 in 1 Tea Latte 17gx22CT,CASE,25,60.63,1515.75,1,3,Posted
6164,10/31/2023,Transfer,T-32206,Tiger Balm Patch Warm (MM),CASE,192,70.632,13561.34,1,3,Posted
6164,10/31/2023,Transfer,F-04114,POP Ginger Chews Mango 4 oz (12ct/cs),CASE,480,6.384,3064.32,1,3,Posted
6164,10/31/2023,Transfer,F-04002,POP Ginger Chews Lemon 1 lb Bulk,CASE,280,25.296,7082.88,1,3,Posted
6164,10/31/2023,Transfer,F-04002,POP Ginger Chews Lemon 1 lb Bulk,CASE,70,24.66,1726.2,1,3,Posted
6164,10/31/2023,Transfer,D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,CASE,75,55.41,4155.75,1,3,Posted
6164,10/31/2023,Transfer,D-03002A,Fluaid 10 Bags,CASE,150,34.788,5218.2,1,3,Posted
6164,10/31/2023,Transfer,M-94306,Organic Lycii 6 oz Bag,CASE,80,45.252,3620.16,1,3,Posted
6164,10/31/2023,Transfer,A-61030,POP Wild AM GSG I*Tea 3gx30,CASE,50,55.512,2775.6,1,3,Posted
6164,10/31/2023,Transfer,F-11077,POP Honey Loquat Candy 76g (18/8),CASE,48,108.144,5190.91,1,3,Posted
6164,10/31/2023,Transfer,F-11078,POP Honey Loquat Candy APear 76g,CASE,50,109.296,5464.8,1,3,Posted
6164,10/31/2023,Transfer,C-70050,Red Ginseng R/Jelly 10x10cc,CASE,28,113.58,3180.24,1,3,Posted
6164,10/31/2023,Transfer,D-13220N,POP Organic Green Tea 1.8gx20,CASE,60,16.236,974.16,1,3,Posted
6164,10/31/2023,Transfer,F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),CASE,480,6.456,3098.88,1,3,Posted
6165,11/06/2023,Transfer,D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,CASE,175,55.41,9696.75,1,3,Posted
6165,11/06/2023,Transfer,F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),CASE,1440,6.456,9296.64,1,3,Posted
6165,11/06/2023,Transfer,D-03053,POP HT Blood Sugar 1.8gx18,CASE,396,21.228,8406.29,1,3,Posted
6165,11/06/2023,Transfer,D-03055N,POP HT Detox 1.8gx18 (NEW),CASE,30,20.316,609.48,1,3,Posted
6165,11/06/2023,Transfer,D-03055N,POP HT Detox 1.8gx18 (NEW),CASE,40,20.472,818.88,1,3,Posted
6165,11/06/2023,Transfer,M-70081,DH Reishi Caps 280mgx120 G Box,BOX,60,20.944,1256.64,1,3,Posted
6165,11/06/2023,Transfer,D-03062,POP HT PMS 1.8gx18,CASE,20,24.084,481.68,1,3,Posted
6165,11/06/2023,Transfer,A-61260N,AM GSG RT Tea 60 Bags (15/cs),CASE,24,163.995,3935.88,1,3,Posted
6165,11/06/2023,Transfer,D-03060,POP HT Menopause 1.8gx18,CASE,250,29.256,7314,1,3,Posted
6165,11/06/2023,Transfer,D-03065,POP HT Goutcare 1.8gx18,CASE,125,29.808,3726,1,3,Posted
6167,11/08/2023,Transfer,A-61219,AM GSG RT/Honey Tea 8.5gx18x2,CASE,60,132.92,7975.2,1,2,Posted
6167,11/08/2023,Transfer,A-61260N,AM GSG RT Tea 60 Bags (15/cs),CASE,192,164.701,31622.64,1,2,Posted
6167,11/08/2023,Transfer,F-04211,POP Ginger Chews Original 2 oz,CASE,300,19.656,5896.8,1,2,Posted
6167,11/08/2023,Transfer,F-04212,POP Ginger Chews Lemon 2 oz,CASE,210,20.232,4248.72,1,2,Posted
6167,11/08/2023,Transfer,A-61030,POP Wild AM GSG I*Tea 3gx30,CASE,66,55.512,3663.79,1,2,Posted
6167,11/08/2023,Transfer,D-17206,POP OG Pu-Erh Tea 1.8gx100 (6ct/cs),CASE,136,12.048,1638.53,1,2,Posted
6167,11/08/2023,Transfer,F-04115,POP Ginger Chews Lychee 4 oz (12ct/cs),CASE,960,7.752,7441.92,1,2,Posted
6167,11/08/2023,Transfer,D-60011,POP Dragon Well Green Tea 250g,CASE,42,116.16,4878.72,1,2,Posted
6168,11/06/2023,Transfer,C-70052,Red Ginseng R/Jelly 30x10cc,CASE,35,128.784,4507.44,3,1,Posted
6168,11/06/2023,Transfer,F-12122,Ferrero Rocher 12 Pcs,CASE,192,41.616,7990.27,3,1,Posted
6168,11/06/2023,Transfer,F-12402,Ferrero Rocher 24 Pcs Diamond,CASE,360,47.328,17038.08,3,1,Posted
6168,11/06/2023,Transfer,F-20141,Ferrero Coll. 24 pcs (w/Hazelnut)#20148,CASE,432,47.328,20445.7,3,1,Posted
6168,11/06/2023,Transfer,F-90001,RICHY Majestic Assorted 398g,CASE,90,38.32,3448.8,3,1,Posted
6168,11/06/2023,Transfer,F-50122,Traou Mad Thick Butter Cookies Tin 400g####FY24,CASE,48,135.3,6494.4,3,1,Posted
6168,11/06/2023,Transfer,P-OKRAC,On Kee Paper Rack,EACH,30,5.915,177.45,3,1,Posted
6169,10/31/2023,Transfer,A-61220,AM GSG RT Tea 20 Bags,BOX,80,3.875,310,3,3,Posted
6169,10/31/2023,Transfer,A-61260N,AM GSG RT Tea 60 Bags (15/cs),BOX,15,10.961,164.42,3,3,Posted
6173,11/13/2023,Transfer,F-90001,RICHY Majestic Assorted 398g,CASE,60,38.32,2299.2,3,2,Posted
6173,11/13/2023,Transfer,P-OKRAC,On Kee Paper Rack,EACH,20,5.915,118.3,3,2,Posted
6173,11/13/2023,Transfer,F-04118,POP Ginger Chews Pineapple Coconut 4 oz (12ct/cs),CASE,1200,6.744,8092.8,3,2,Posted
6174,11/09/2023,Transfer,D-60011,POP Dragon Well Green Tea 250g,CASE,21,115.404,2423.49,1,3,Posted
6174,11/09/2023,Transfer,D-60023,POP Pearl Jasmine Tea 150g,CASE,12,134.052,1608.62,1,3,Posted
6174,11/09/2023,Transfer,F-04117,POP Ginger Chews Blood Orange 4 oz (12ct/cs),CASE,480,6.456,3098.88,1,3,Posted
6174,11/09/2023,Transfer,D-03071,POP Blood Sugar Tea 1.8gx18(4x3),CASE,50,23.376,1168.8,1,3,Posted
6174,11/09/2023,Transfer,D-03072,POP Cholesterol Tea 1.8gx18(4x3),CASE,50,29.58,1479,1,3,Posted
6174,11/09/2023,Transfer,F-11077,POP Honey Loquat Candy 76g (18/8),CASE,48,108.144,5190.91,1,3,Posted
6174,11/09/2023,Transfer,C-70330,Ginkgo & Red GSG Ext 30x10cc,CASE,90,96.816,8713.44,1,3,Posted
6174,11/09/2023,Transfer,D-04032,POP In Ginger H Cytl w/Turmeric 10ct(6x6),CASE,72,29.916,2153.95,1,3,Posted
6174,11/09/2023,Transfer,D-04043,POP In Ginger H Cytl w/Lemon 18gx30,CASE,250,71.97,17992.5,1,3,Posted
6175,11/09/2023,Transfer,AC-M6B,AM GSG M-6 In Bulk,LB,500,52.008,26003.99,1,3,Posted
6177,11/14/2023,Transfer,T-31545,Tiger Balm 50G Ultra (10x4/cs),CASE,120,172.86,20743.2,1,2,Posted
6177,11/14/2023,Transfer,A-61260N,AM GSG RT Tea 60 Bags (15/cs),CASE,120,150.54,18064.8,1,2,Posted
6177,11/14/2023,Transfer,D-04010,POP In Ginger Honey Cytl 18gx10####FY24,CASE,480,35.244,16917.12,1,2,Posted
6177,11/14/2023,Transfer,M-41061,YNBY Toothpaste Mint 100g+30g Free##25,CASE,399,24.84,9911.16,1,2,Posted
6177,11/14/2023,Transfer,M-41062,YNBY Toothpaste Wht 100g+30g Free##25,CASE,399,29.796,11888.6,1,2,Posted
6177,11/14/2023,Transfer,M-41066,YNBY Toothpaste Probio 100g+30g Free,CASE,266,32.34,8602.44,1,2,Posted
6178,11/14/2023,Transfer,F-04118,POP Ginger Chews Pineapple Coconut 4 oz (12ct/cs),CASE,240,6.744,1618.56,3,1,Posted
6178,11/14/2023,Transfer,A-61150,AM GSG Candy 6 oz Bag,CASE,95,33.54,3186.3,3,1,Posted
6179,11/28/2023,Transfer,F-04075,POP Ginger Chews Blood Orange 8 oz,CASE,256,8.416,2154.5,2,1,Posted
6179,11/28/2023,Transfer,F-58101,MILO Ring Cookies w/Choco Flavor(12x32.5g),CASE,56,48,2688,2,1,Posted
6179,11/28/2023,Transfer,F-58102,MILO Cookies w/Vanilla Creme (12x34g),CASE,56,48,2688,2,1,Posted
6181,11/16/2023,Transfer,M-41061,YNBY Toothpaste Mint 100g+30g Free##25,CASE,266,24.84,6607.44,1,3,Posted
6181,11/16/2023,Transfer,M-41062,YNBY Toothpaste Wht 100g+30g Free##25,CASE,532,29.796,15851.48,1,3,Posted
6181,11/16/2023,Transfer,M-41066,YNBY Toothpaste Probio 100g+30g Free,CASE,133,32.34,4301.22,1,3,Posted
6181,11/16/2023,Transfer,P-RTBAG,POP Recycle/Tote Bag,EACH,5000,0.615,3075,1,3,Posted
6181,11/16/2023,Transfer,P-POPRB,POP Non-woven Recycle Bag- Medium size,EACH,6000,0.366,2196,1,3,Posted
6181,11/16/2023,Transfer,F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),CASE,480,7.428,3565.44,1,3,Posted
6181,11/16/2023,Transfer,F-04005,POP Ginger Chews Mango 1 lb Bulk,CASE,70,24.636,1724.52,1,3,Posted
6181,11/16/2023,Transfer,F-04006,POP Ginger Chews Lychee 1 lb Bulk,CASE,70,24.636,1724.52,1,3,Posted
6181,11/16/2023,Transfer,F-04115,POP Ginger Chews Lychee 4 oz (12ct/cs),CASE,720,6.432,4631.04,1,3,Posted
6181,11/16/2023,Transfer,T-44020N,Tiger Balm Muscle Rub Active 2 oz,CASE,50,135.66,6783,1,3,Posted
6182,11/24/2023,Transfer,P-AG-ZB8,POP Am Gsg Zip-lock Bag 8 oz,EACH,1700,0.116,197.2,1,2,Posted
6182,11/24/2023,Transfer,P-AGB1,Am Gsg Root Bag - 1 lb,EACH,1000,0.166,166,1,2,Posted
6182,11/24/2023,Transfer,P-A8B-T,A-C GSG In Bag - Plastic Tray ( 8 oz),EACH,1700,0.048,81.6,1,2,Posted
6182,11/24/2023,Transfer,AC-M34,"AM GSG M-3, 1/4 LB.##25",BOX,60,16.302,978.12,1,2,Posted
6182,11/24/2023,Transfer,AC-M44,"AM GSG M-4, 1/4 LB.##25",BOX,120,17.578,2109.36,1,2,Posted
6182,11/24/2023,Transfer,P-OA50,Silica Gel Desiccant 3g,EACH,5000,0.052,260,1,2,Posted
6182,11/24/2023,Transfer,A-61122,AM GSG Powder 1.5 oz,BOX,525,6.052,3177.3,1,2,Posted
6182,11/24/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,240,17.208,4129.89,1,2,Posted
6182,11/24/2023,Transfer,AC-R34,"AM GSG R-3, 1/4 LB.##25",BOX,60,15.643,938.58,1,2,Posted
6182,11/24/2023,Transfer,AC-R64,"AM GSG R-6, 1/4 LB.##25",BOX,60,21.353,1281.18,1,2,Posted
6189,11/24/2023,Transfer,P-HC-12B,POP HC 12 oz - Bottle (Bear 24 oz #60345),EACH,820,0.414,339.48,1,2,Posted
6189,11/24/2023,Transfer,P-HC-12C,POP HC 12 oz - white Cap(38-400),EACH,820,0.084,68.88,1,2,Posted
6189,11/24/2023,Transfer,P-HC-12L,POP Honey Crystals 12 oz - Label,EACH,850,0.048,40.8,1,2,Posted
6190,11/24/2023,Transfer,P-RTBAG,POP Recycle/Tote Bag,EACH,5000,0.632,3160.15,1,2,Posted
6190,11/24/2023,Transfer,P-POPRB,POP Non-woven Recycle Bag- Medium size,EACH,6000,0.366,2196,1,2,Posted
6190,11/24/2023,Transfer,A-61012,Wild AM GSG Instant Tea 3gx10x8,CASE,240,145.164,34839.36,1,2,Posted
6190,11/24/2023,Transfer,F-11178A,POP Honey Loquat Candy 178g,CASE,168,72.768,12225.02,1,2,Posted
6190,11/24/2023,Transfer,D-04010,POP In Ginger Honey Cytl 18gx10####FY24,CASE,144,35.244,5075.13,1,2,Posted
6190,11/24/2023,Transfer,C-70330,Ginkgo & Red GSG Ext 30x10cc,CASE,45,96.816,4356.72,1,2,Posted
6190,11/24/2023,Transfer,D-60023,POP Pearl Jasmine Tea 150g,CASE,14,134.052,1876.73,1,2,Posted
6190,11/24/2023,Transfer,D-03002A,Fluaid 10 Bags,CASE,59,34.788,2052.49,1,2,Posted
6190,11/24/2023,Transfer,J-40152,POP Honey Crystals 12 oz,CASE,10,38.052,380.52,1,2,Posted
6192,11/24/2023,Transfer,P-HC-12B,POP HC 12 oz - Bottle (Bear 24 oz #60345),EACH,680,0.414,281.52,1,3,Posted
6192,11/24/2023,Transfer,P-HC-12C,POP HC 12 oz - white Cap(38-400),EACH,680,0.084,57.12,1,3,Posted
6192,11/24/2023,Transfer,P-HC-12L,POP Honey Crystals 12 oz - Label,EACH,680,0.048,32.64,1,3,Posted
6195,11/24/2023,Transfer,F-11076A,POP Honey Loquat Candy 76g,CASE,50,109.872,5493.6,1,3,Posted
6195,11/24/2023,Transfer,D-04020,POP Dong Quai/Red Date 18gx10,CASE,48,35.424,1700.35,1,3,Posted
6195,11/24/2023,Transfer,J-40152,POP Honey Crystals 12 oz,CASE,20,38.052,761.04,1,3,Posted
6195,11/24/2023,Transfer,F-04211,POP Ginger Chews Original 2 oz,CASE,140,19.656,2751.84,1,3,Posted
6195,11/24/2023,Transfer,F-04212,POP Ginger Chews Lemon 2 oz,CASE,140,20.232,2832.48,1,3,Posted
6195,11/24/2023,Transfer,F-04130,POP Ginger Chews Plus+ Original 3 oz,CASE,250,15.3,3825,1,3,Posted
6195,11/24/2023,Transfer,D-04032,POP In Ginger H Cytl w/Turmeric 10ct(6x6),CASE,72,29.916,2153.95,1,3,Posted
6195,11/24/2023,Transfer,D-04037,POP Ginger H Cytl.Lemon 10ct(6x6),CASE,72,34.02,2449.44,1,3,Posted
6195,11/24/2023,Transfer,D-41986,POP D Brown Sugar Ginger Honey Crystal,CASE,96,36.288,3483.65,1,3,Posted
6196,12/05/2023,Transfer,AC-BK01,AM GSG Root Mixed In Bulk,LB,5586.04,21.05,117584.45,1,3,Posted
6196,12/05/2023,Transfer,P-A4B-T,A-C GSG In Bag - Plastic Tray (4oz),EACH,5000,0.043,215,1,3,Posted
6196,12/05/2023,Transfer,P-AG-ZB4,POP Am Gsg Zip-lock Bag 4 oz,EACH,5000,0.076,380,1,3,Posted
6196,12/05/2023,Transfer,P-AGB1,Am Gsg Root Bag - 1 lb,EACH,3000,0.166,498,1,3,Posted
6196,12/05/2023,Transfer,AC-SL4,"AM GSG Slices, 1/4 LB.",BOX,120,17.405,2088.6,1,3,Posted
6196,12/05/2023,Transfer,AC-B6SL,AM GSG Slices 6 oz Bag,BAG,60,17.749,1064.94,1,3,Posted
6196,12/05/2023,Transfer,P-OA50,Silica Gel Desiccant 3g,EACH,5000,0.052,260,1,3,Posted
6198,12/01/2023,Transfer,J-56206,Sunity Dessert Drink5x150gMangoPomelo,CASE,144,13.692,1971.65,1,2,Posted
6198,12/01/2023,Transfer,J-56207,Sunity Dessert Drink5x150gPearLoquat,CASE,144,13.692,1971.65,1,2,Posted
6198,12/01/2023,Transfer,J-56208,Sunity Dessert Drink5x150gBerryPudding,CASE,144,13.692,1971.65,1,2,Posted
6198,12/01/2023,Transfer,J-56202,Sunity HJDrink5pchx253gPear&Honey,CASE,160,15.114,2418.24,1,2,Posted
6198,12/01/2023,Transfer,J-56001,Sunity HJelly 2cupsx222gRedBean&MIlk,CASE,96,28.26,2712.96,1,2,Posted
6198,12/01/2023,Transfer,J-56003,Sunity HJelly 2cupsx222gLongan&MIlk,CASE,96,28.26,2712.96,1,2,Posted
6198,12/01/2023,Transfer,J-56005,Sunity HJelly 2cupsx222gPurRice&MIlk,CASE,96,28.26,2712.96,1,2,Posted
6198,12/01/2023,Transfer,J-56007,Sunity GrassJelly 2cupsx246gMango,CASE,80,31.248,2499.84,1,2,Posted
6198,12/01/2023,Transfer,J-56008,Sunity GrassJelly 2cupsx246gPeach,CASE,80,31.248,2499.84,1,2,Posted
6198,12/01/2023,Transfer,J-56041,Sunity HJ YgCoconut 390g Cup Original,CASE,144,16.315,2349.36,1,2,Posted
6198,12/01/2023,Transfer,J-56042,Sunity HJ YgCoconut 390g Cup Lime&Grapefruit,CASE,144,16.315,2349.36,1,2,Posted
6198,12/01/2023,Transfer,J-56043,Sunity HJ YgCoconut 390g Cup Peach&PassionFr.,CASE,144,16.315,2349.36,1,2,Posted
6198,12/01/2023,Transfer,J-40135N,POP Ins Thai Tea 35gx12CT (14/cs),CASE,120,40.656,4878.72,1,2,Posted
6200,12/04/2023,Transfer,J-56206,Sunity Dessert Drink5x150gMangoPomelo,CASE,144,13.692,1971.65,1,3,Posted
6200,12/04/2023,Transfer,J-56207,Sunity Dessert Drink5x150gPearLoquat,CASE,144,13.692,1971.65,1,3,Posted
6200,12/04/2023,Transfer,J-56208,Sunity Dessert Drink5x150gBerryPudding,CASE,144,13.692,1971.65,1,3,Posted
6200,12/04/2023,Transfer,K-83048,POP K GSG Reishi RT Tea 48 Bags##25,CASE,12,165.744,1988.93,1,3,Posted
6200,12/04/2023,Transfer,T-31545,Tiger Balm 50G Ultra (10x4/cs),CASE,80,172.86,13828.8,1,3,Posted
6200,12/04/2023,Transfer,D-03070,POP Blood Pressure Tea 1.8gx18(4x3),CASE,50,23.184,1159.2,1,3,Posted
6200,12/04/2023,Transfer,A-61150,AM GSG Candy 6 oz Bag,CASE,60,34.65,2079,1,3,Posted
6200,12/04/2023,Transfer,T-32206,Tiger Balm Patch Warm (MM),CASE,320,70.632,22602.24,1,3,Posted
6200,12/04/2023,Transfer,D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,CASE,50,52.23,2611.5,1,3,Posted
6200,12/04/2023,Transfer,D-04061,POP Ginger Honey Cytl Original 10ct(6x6),CASE,108,30.888,3335.9,1,3,Posted
6201,12/08/2023,Transfer,F-11076A,POP Honey Loquat Candy 76g,CASE,40,109.296,4371.84,2,3,Posted
6201,12/08/2023,Transfer,D-41986,POP D Brown Sugar Ginger Honey Crystal,CASE,96,37.152,3566.59,2,3,Posted
6201,12/08/2023,Transfer,F-50144N,Gavottes Fan Wafer 1000g,CASE,400,57.402,22960.94,2,3,Posted
6202,12/07/2023,Transfer,D-04032,POP In Ginger H Cytl w/Turmeric 10ct(6x6),CASE,180,32.652,5877.36,2,1,Posted
6202,12/07/2023,Transfer,T-32300,Tiger Balm Patch - Large,CASE,120,97.776,11733.12,2,1,Posted
